Date,No_of_Accidents,Tithi,Nakshtra,Karna,Yoga,Ayanamsa,Rashi
23-04-2017,592,Ekadasi,Satabhisham,Balava,Bramha,"24 5'49""",Kumbha
24-12-2017,590,Shasti,Satabhisham,Kaulava,Vajra,"24 6'20""",Kumbha
27-08-2017,590,Shasti,Swati,Kaulava,Bramha,"24 6'6""",Tula
13-05-2017,587,Vidhiya,Jyesta,Garaja,Siva,"24 5'51""",Vrushchika
29-10-2017,586,Navami,Sravanam,Balava,Ganda,"24 6'12""",Makara
25-06-2017,584,Padyami,Aarudra,Bawa,Dhruva,"24 5'58""",Mithuna
01-07-2017,581,Ashtami,Hasta,Vishti,Variyan,"24 5'59""",Kanya
08-07-2017,581,Chaturdasi,Mula,Vanija,Bramha,"24 6'0""",Dhanu
08-08-2020,577,Chaviti,Uttara-Bhadra,Balava,Sukarman,"24 8'28""",Meena
29-08-2020,576,Ekadasi,Purva-Shada,Vishti,Ayushman,"24 8'30""",Dhanu
26-12-2016,575,Dvadasi,Visakha,Taitula,Dhrithi,"24 5'35""",Vrushchika
14-05-2017,575,Thadiya,Mula,Vishti,Siddha,"24 5'51""",Dhanu
28-01-2017,574,Amavasya,Sravanam,Nagava,Siddhi,"24 5'40""",Makara
24-06-2017,573,Amavasya,Mrugasira,Nagava,Ganda,"24 5'57""",Mithuna
05-09-2020,572,Thadiya,Revathi,Vanija,Ganda,"24 8'31""",Meena
16-05-2016,572,Dasami,Pubha,Taitula,Harshana,"24 5'6""",Simha
31-07-2017,571,Ashtami,Swati,Bawa,Subha,"24 6'3""",Tula
20-06-2016,568,Punnami,Jyesta,Vishti,Subha,"24 5'12""",Vrushchika
24-07-2016,568,Panchami,Purva-Bhadra,Kaulava,Sobhana,"24 5'17""",Kumbha
25-06-2016,567,Panchami,Dhanista,Kaulava,Vishkambha,"24 5'13""",Kumbha
15-01-2017,561,Thadiya,Makha,Vishti,Ayushman,"24 5'39""",Simha
07-08-2016,560,Chavithi,Uttara,Vishti,Siddha,"24 5'19""",Kanya
03-12-2017,556,Punnami,Kruthika,Vishti,Siva,"24 6'17""",Vrushabha
16-08-2020,555,Dvadasi,Aarudra,Kaulava,Vajra,"24 8'29""",Mithuna
04-09-2016,553,Thadiya,Hasta,Taitula,Subha,"24 5'22""",Kanya
01-08-2020,550,Trayodasi,Mula,Kaulava,Vaidhruthi,"24 8'27""",Dhanu
06-09-2020,548,Chaviti,Revathi,Bawa,Vridhi,"24 8'31""",Meena
25-07-2020,545,Panchami,Uttara,Bawa,Parigha,"24 8'26""",Kanya
09-04-2017,542,Trayodasi,Uttara,Taitula,Vridhi,"24 5'47""",Simha
25-09-2016,539,Navami,Punarwasu,Garaja,Parigha,"24 5'24""",Mithuna
16-07-2016,532,Ekadasi,Anuradha,Vishti,Sukla,"24 5'16""",Vrushchika
31-12-2017,526,Trayodasi,Rohini,Kaulava,Subha,"24 6'22""",Vrushabha
09-07-2017,521,Punnami,Purva-Shada,Bawa,Indra,"24 6'0""",Dhanu
10-12-2017,519,Sapthami,Pubha,Bawa,Vishkambha,"24 6'18""",Simha
18-07-2020,515,Trayodasi,Mrugasira,Garaja,Dhruva,"24 8'25""",Vrushabha
22-08-2020,510,Chavithi,Hasta,Vanija,Sadhya,"24 8'30""",Kanya
25-03-2016,504,Vidhiya,Chitta,Taitula,Dhruva,"24 5'1""",Kanya
30-08-2020,503,Dvadasi,Uttara-Shaada,Balava,Saubhagya,"24 8'31""",Makara
18-03-2023,502,Ekadasi,Uttara-Shaada,Balava,Parigha,"24 10'45""",Makara
23-07-2017,501,Amavasya,Punarwasu,Chatushpada,Harshana,"24 6'2""",Mithuna
30-05-2016,501,Ashtami,Satabhisham,Kaulava,Vishkambha,"24 5'8""",Kumbha
18-09-2016,497,Vidhiya,Uttara-Bhadra,Taitula,Vridhi,"24 5'23""",Meena
10-07-2016,486,Shasti,Uttara,Kaulava,Variyan,"24 5'15""",Simha
16-07-2017,485,Sapthami,Revathi,Vishti,Atiganda,"24 6'1""",Meena
09-07-2016,477,Panchami,Pubha,Bawa,Vyatipata,"24 5'15""",Simha
15-07-2017,476,Shasti,Uttara-Bhadra,Garaja,Sobhana,"24 6'1""",Meena
23-08-2020,469,Panchami,Chitta,Bawa,Subha,"24 8'30""",Kanya
11-07-2020,467,Shasti,Purva-Bhadra,Vanija,Sobhana,"24 8'24""",Meena
03-07-2016,459,Chaturdasi,Mrugasira,Vishti,Ganda,"24 5'14""",Vrushabha
02-07-2017,455,Navami,Chitta,Balava,Parigha,"24 5'59""",Kanya
09-08-2020,449,Panchami,Revathi,Taitula,Dhrithi,"24 8'28""",Meena
19-07-2020,429,Chaturdasi,Aarudra,Vishti,Vyaghata,"24 8'25""",Mithuna
02-07-2016,426,Trayodasi,Rohini,Garaja,Soola,"24 5'14""",Vrushabha
25-12-2016,425,Ekadasi,Visakha,Balava,Sukarman,"24 5'35""",Tula
02-08-2020,422,Chaturdasi,Purva-Shada,Garaja,Vishkambha,"24 8'27""",Dhanu
26-07-2020,406,Shasti,Hasta,Taitula,Siva,"24 8'26""",Kanya
05-07-2020,400,Punnami,Purva-Shada,Bawa,Indra,"24 8'22""",Dhanu
04-07-2020,385,Chaturdasi,Mula,Vanija,Sukla,"24 8'22""",Dhanu
12-07-2020,377,Sapthami,Uttara-Bhadra,Vishti,Atiganda,"24 8'24""",Meena
28-05-2016,367,Shasti,Sravanam,Vanija,Indra,"24 5'8""",Makara
21-05-2016,367,Punnami,Visakha,Vishti,Parigha,"24 5'7""",Tula
09-04-2016,364,Vidhiya,Bharani,Kaulava,Vishkambha,"24 5'2""",Mesha
22-05-2016,362,Punnami,Anuradha,Bawa,Siva,"24 5'7""",Vrushchika
04-06-2016,328,Chaturdasi,Kruthika,Vishti,Sukarman,"24 5'9""",Vrushabha
11-06-2016,322,Sapthami,Makha,Garaja,Harshana,"24 5'10""",Simha
12-06-2016,321,Ashtami,Pubha,Vishti,Vajra,"24 5'11""",Simha
29-05-2016,305,Sapthami,Dhanista,Bawa,Vaidhruthi,"24 5'8""",Kumbha
10-04-2016,305,Thadiya,Kruthika,Garaja,Prithi,"24 5'3""",Mesha
05-06-2016,291,Amavasya,Rohini,Nagava,Dhrithi,"24 5'9""",Vrushabha
18-06-2016,285,Trayodasi,Visakha,Kaulava,Siddha,"24 5'12""",Vrushchika
25-02-2023,280,Shasti,Ashwini,Kaulava,Bramha,"24 10'43""",Mesha
03-04-2016,278,Dasami,Sravanam,Vishti,Siddha,"24 5'2""",Makara
29-05-2017,270,Chavithi,Punarwasu,Vishti,Ganda,"24 5'53""",Mithuna
27-03-2016,263,Thadiya,Swati,Vishti,Harshana,"24 5'1""",Tula
02-04-2016,260,Navami,Uttara-Shaada,Garaja,Siva,"24 5'2""",Makara
26-03-2016,251,Thadiya,Chitta,Vanija,Vyaghata,"24 5'1""",Tula
29-04-2021,239,Vidhiya,Anuradha,Garaja,Variyan,"24 9'3""",Vrushchika
31-03-2022,239,Chaturdasi,Purva-Bhadra,Sakuna,Sukla,"24 9'52""",Kumbha
19-06-2016,229,Chaturdasi,Anuradha,Garaja,Sadhya,"24 5'12""",Vrushchika
17-04-2016,213,Ekadasi,Makha,Vanija,Ganda,"24 5'3""",Simha
15-07-2018,202,Thadiya,Aslesha,Taitula,Siddhi,"24 6'47""",Karkataka
29-10-2016,170,Chaturdasi,Hasta,Vishti,Vishkambha,"24 5'27""",Kanya
27-05-2017,166,Vidhiya,Mrugasira,Balava,Dhrithi,"24 5'53""",Vrushabha
24-04-2016,159,Vidhiya,Visakha,Taitula,Vyatipata,"24 5'4""",Tula
30-04-2016,156,Ashtami,Sravanam,Balava,Subha,"24 5'4""",Makara
28-05-2017,140,Thadiya,Aarudra,Taitula,Soola,"24 5'53""",Mithuna
10-05-2022,132,Navami,Makha,Balava,Dhruva,"24 9'57""",Simha
09-10-2016,95,Ashtami,Purva-Shada,Vishti,Atiganda,"24 5'25""",Dhanu
11-02-2016,93,Thadiya,Purva-Bhadra,Taitula,Siva,"24 4'57""",Kumbha
24-02-2016,86,Padyami,Pubha,Kaulava,Sukarman,"24 4'59""",Simha
16-02-2016,84,Navami,Kruthika,Balava,Indra,"24 4'58""",Vrushabha
22-03-2016,82,Chaturdasi,Pubha,Garaja,Soola,"24 5'1""",Simha
18-02-2016,73,Ekadasi,Mrugasira,Vanija,Vishkambha,"24 4'58""",Mithuna
10-03-2016,72,Padyami,Uttara-Bhadra,Bawa,Subha,"24 5'0""",Meena
19-02-2016,72,Dvadasi,Aarudra,Bawa,Prithi,"24 4'58""",Mithuna
01-01-2017,66,Thadiya,Sravanam,Taitula,Harshana,"24 5'36""",Makara
03-03-2016,64,Navami,Jyesta,Taitula,Vajra,"24 4'59""",Vrushchika
15-02-2016,62,Sapthami,Bharani,Vanija,Bramha,"24 4'58""",Mesha
11-03-2016,61,Thadiya,Revathi,Taitula,Sukla,"24 5'0""",Meena
08-02-2016,60,Amavasya,Sravanam,Chatushpada,Vyatipata,"24 4'57""",Makara
09-02-2016,59,Padyami,Dhanista,Kimstughana,Variyan,"24 4'57""",Makara
23-02-2016,58,Padyami,Makha,Balava,Atiganda,"24 4'59""",Simha
04-03-2016,58,Dasami,Mula,Vanija,Siddhi,"24 5'0""",Dhanu
17-07-2016,58,Dvadasi,Jyesta,Balava,Bramha,"24 5'16""",Vrushchika
01-05-2016,56,Navami,Dhanista,Taitula,Sukla,"24 5'5""",Makara
01-03-2016,55,Sapthami,Anuradha,Vishti,Vyaghata,"24 4'59""",Vrushchika
22-02-2016,55,Punnami,Aslesha,Vishti,Sobhana,"24 4'59""",Karkataka
